ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,FNS32389,32389.TXT,0.66233,0.03467,0.06589,3

ROUGE-L+StopWordRemoval,FNS31058,31058.TXT,0.78127,0.23187,0.35761,4

ROUGE-1+StopWordRemoval,FNS31058,31058.TXT,0.80436,0.15287,0.25692,4

ROUGE-2+StopWordRemoval,FNS31058,31058.TXT,0.59231,0.09104,0.15782,4

ROUGE-SU4+StopWordRemoval,FNS31058,31058.TXT,0.64711,0.08417,0.14896,4

ROUGE-L+StopWordRemoval,FNS31851,31851.TXT,0.78063,0.12524,0.21586,4

ROUGE-1+StopWordRemoval,FNS31851,31851.TXT,0.84116,0.05342,0.10047,4

ROUGE-2+StopWordRemoval,FNS31851,31851.TXT,0.68032,0.03325,0.06340,4

ROUGE-SU4+StopWordRemoval,FNS31851,31851.TXT,0.71425,0.02982,0.05724,4

ROUGE-L+StopWordRemoval,FNS32148,32148.TXT,0.78522,0.20615,0.32657,3

ROUGE-1+StopWordRemoval,FNS32148,32148.TXT,0.81534,0.10372,0.18403,3

ROUGE-2+StopWordRemoval,FNS32148,32148.TXT,0.58696,0.06017,0.10915,3

ROUGE-SU4+StopWordRemoval,FNS32148,32148.TXT,0.64911,0.05590,0.10294,3

ROUGE-L+StopWordRemoval,FNS31059,31059.TXT,0.78689,0.11958,0.20760,4

ROUGE-1+StopWordRemoval,FNS31059,31059.TXT,0.81164,0.04650,0.08796,4

ROUGE-2+StopWordRemoval,FNS31059,31059.TXT,0.53470,0.02558,0.04882,4

ROUGE-SU4+StopWordRemoval,FNS31059,31059.TXT,0.61136,0.02235,0.04312,4

ROUGE-L+StopWordRemoval,FNS32149,32149.TXT,0.76943,0.16806,0.27587,4

ROUGE-1+StopWordRemoval,FNS32149,32149.TXT,0.65365,0.07956,0.14186,4

ROUGE-2+StopWordRemoval,FNS32149,32149.TXT,0.48038,0.04957,0.08986,4

ROUGE-SU4+StopWordRemoval,FNS32149,32149.TXT,0.52150,0.04477,0.08246,4

ROUGE-L+StopWordRemoval,FNS31610,31610.TXT,0.82016,0.22458,0.35261,3

ROUGE-1+StopWordRemoval,FNS31610,31610.TXT,0.83451,0.10097,0.18014,3

ROUGE-2+StopWordRemoval,FNS31610,31610.TXT,0.60511,0.06146,0.11158,3

ROUGE-SU4+StopWordRemoval,FNS31610,31610.TXT,0.66681,0.05531,0.10215,3

ROUGE-L+StopWordRemoval,FNS31854,31854.TXT,0.83849,0.14329,0.24475,3

ROUGE-1+StopWordRemoval,FNS31854,31854.TXT,0.80268,0.05805,0.10826,3

ROUGE-2+StopWordRemoval,FNS31854,31854.TXT,0.57418,0.03470,0.06545,3

ROUGE-SU4+StopWordRemoval,FNS31854,31854.TXT,0.63487,0.03222,0.06134,3

ROUGE-L+StopWordRemoval,FNS31855,31855.TXT,0.81767,0.12831,0.22181,3

ROUGE-1+StopWordRemoval,FNS31855,31855.TXT,0.81610,0.05698,0.10652,3

ROUGE-2+StopWordRemoval,FNS31855,31855.TXT,0.56435,0.03346,0.06318,3

ROUGE-SU4+StopWordRemoval,FNS31855,31855.TXT,0.60613,0.03153,0.05994,3

ROUGE-L+StopWordRemoval,FNS30887,30887.TXT,0.75070,0.16086,0.26495,5

ROUGE-1+StopWordRemoval,FNS30887,30887.TXT,0.75051,0.07466,0.13581,5

ROUGE-2+StopWordRemoval,FNS30887,30887.TXT,0.54967,0.04345,0.08053,5

ROUGE-SU4+StopWordRemoval,FNS30887,30887.TXT,0.59875,0.03797,0.07142,5

ROUGE-L+StopWordRemoval,FNS31290,31290.TXT,0.71172,0.15259,0.25131,3

ROUGE-1+StopWordRemoval,FNS31290,31290.TXT,0.73555,0.06205,0.11445,3

ROUGE-2+StopWordRemoval,FNS31290,31290.TXT,0.48159,0.03582,0.06668,3

ROUGE-SU4+StopWordRemoval,FNS31290,31290.TXT,0.54830,0.03178,0.06007,3

ROUGE-L+StopWordRemoval,FNS32380,32380.TXT,0.77482,0.18396,0.29732,3

ROUGE-1+StopWordRemoval,FNS32380,32380.TXT,0.78974,0.11034,0.19363,3

ROUGE-2+StopWordRemoval,FNS32380,32380.TXT,0.58047,0.06792,0.12162,3

ROUGE-SU4+StopWordRemoval,FNS32380,32380.TXT,0.63768,0.06574,0.11919,3

ROUGE-L+StopWordRemoval,FNS30886,30886.TXT,0.76541,0.15398,0.25639,4

ROUGE-1+StopWordRemoval,FNS30886,30886.TXT,0.74944,0.07283,0.13276,4

ROUGE-2+StopWordRemoval,FNS30886,30886.TXT,0.50185,0.04413,0.08112,4

ROUGE-SU4+StopWordRemoval,FNS30886,30886.TXT,0.57305,0.04138,0.07718,4

ROUGE-L+StopWordRemoval,FNS31292,31292.TXT,0.76677,0.16071,0.26573,3

ROUGE-1+StopWordRemoval,FNS31292,31292.TXT,0.76506,0.06598,0.12149,3

ROUGE-2+StopWordRemoval,FNS31292,31292.TXT,0.51765,0.03734,0.06965,3

ROUGE-SU4+StopWordRemoval,FNS31292,31292.TXT,0.58487,0.03472,0.06555,3

